Punto,latitud,longitud
12,-56.26335092,-34.89067119
13,-56.11229629,-34.75581792
14,-56.26471336,-34.88008198
15,-56.25972811,-34.86491977
16,-56.25564247,-34.79917707
17,-56.2545859,-34.84443061
18,-56.25112031,-34.85865745
19,-56.22559355,-34.81928584
20,-56.17635307,-34.82068749
21,-56.15475508,-34.84481625
22,-56.11508094,-34.88120104
23,-56.10161733,-34.88518736
24,-56.10005138,-34.8236186
25,-56.16621846,-34.83215793
26,-56.27151597,-34.88434888
27,-56.24579498,-34.84469879
28,-56.16119674,-34.83198407
29,-56.10089341,-34.87817606
30,-56.16800752,-34.83300276
31,-56.05660004,-34.77844703
32,-56.14289918,-34.8223245
33,-56.22671511,-34.80401041
34,-56.19771623,-34.90945712
35,-56.14938403,-34.83691107
36,-56.12327495,-34.8408294
